r,t,y,AnnualizedInvestmentCost
RE1,PHL_AGR_MOT_LIQ,2033,1831.8508711083232
RE1,PHL_AGR_MOT_LIQ,2034,1877.5976208857226
RE1,PHL_AGR_MOT_LIQ,2035,2198.7256421902966
RE1,PHL_AGR_MOT_LIQ,2036,2259.965516379097
RE1,PHL_AGR_MOT_LIQ,2037,2321.2053905678977
RE1,PHL_AGR_MOT_LIQ,2038,2383.2292248896147
RE1,PHL_AGR_MOT_LIQ,2039,2444.6574711893313
RE1,PHL_AGR_MOT_LIQ,2040,2505.4901386425036
RE1,PHL_AGR_MOT_LIQ,2041,2575.131133714478
RE1,PHL_AGR_MOT_LIQ,2042,2645.6846370574076
RE1,PHL_AGR_MOT_LIQ,2043,2715.5975100650153
RE1,PHL_AGR_MOT_LIQ,2044,2784.2291224019796
RE1,PHL_AGR_MOT_LIQ,2045,2852.2201135790783
RE1,PHL_AGR_MOT_LIQ,2046,2928.9704813174176
RE1,PHL_AGR_MOT_LIQ,2047,3005.0012822727876
RE1,PHL_AGR_MOT_LIQ,2048,3082.792100840027
RE1,PHL_AGR_MOT_LIQ,2049,3159.6936250398976
RE1,PHL_AGR_MOT_LIQ,2050,3305.4980431077283
RE1,PHL_AGR_MOT_LIQ,2051,3391.999333055927
RE1,PHL_AGR_MOT_LIQ,2052,3478.5006138286694
RE1,PHL_AGR_MOT_LIQ,2053,3563.6223647974075
RE1,PHL_HOU_COOK_BIOM,2020,2083.340035222162
RE1,PHL_HOU_COOK_BIOM,2021,2083.340035222162
RE1,PHL_HOU_COOK_BIOM,2022,2083.340035222162
RE1,PHL_HOU_COOK_BIOM,2023,2083.340035222162
RE1,PHL_HOU_COOK_BIOM,2024,2083.340035222162
RE1,PHL_HOU_COOK_BIOM,2025,2083.340035222162
RE1,PHL_HOU_COOK_BIOM,2026,2083.340035222162
RE1,PHL_HOU_COOK_BIOM,2027,2083.340035222162
RE1,PHL_HOU_COOK_BIOM,2028,2083.340035222162
RE1,PHL_HOU_COOK_BIOM,2029,2083.340035222162
RE1,PHL_HOU_COOK_BIOM,2030,2083.340035222162
RE1,PHL_HOU_COOK_BIOM,2031,2083.340035222162
RE1,PHL_HOU_COOK_BIOM,2032,2083.340035222162
RE1,PHL_HOU_COOK_BIOM,2033,2083.340035222162
RE1,PHL_HOU_COOK_BIOM,2034,2083.340035222162
RE1,PHL_HOU_COOK_COAL,2021,2205.9097214191106
RE1,PHL_HOU_COOK_COAL,2022,2239.8151232055616
RE1,PHL_HOU_COOK_COAL,2023,2273.7113495360495
RE1,PHL_HOU_COOK_COAL,2024,2308.6469806934574
RE1,PHL_HOU_COOK_COAL,2025,2371.878066458022
RE1,PHL_HOU_COOK_COAL,2026,2404.0009432391266
RE1,PHL_HOU_COOK_COAL,2027,2436.024440656698
