r,t,y,TotalCapacityAnnual
RE1,PHL_DEM_PWR_SUR_WAT,2032,999999.0
RE1,PHL_DEM_PWR_SUR_WAT,2033,999999.0
RE1,PHL_DEM_PWR_SUR_WAT,2034,999999.0
RE1,PHL_DEM_PWR_SUR_WAT,2035,999999.0
RE1,PHL_DEM_PWR_SUR_WAT,2036,999999.0
RE1,PHL_DEM_PWR_SUR_WAT,2037,999999.0
RE1,PHL_DEM_PWR_SUR_WAT,2038,999999.0
RE1,PHL_DEM_PWR_SUR_WAT,2039,999999.0
RE1,PHL_DEM_PWR_SUR_WAT,2040,999999.0
RE1,PHL_DEM_PWR_SUR_WAT,2041,999999.0
RE1,PHL_DEM_PWR_SUR_WAT,2042,999999.0
RE1,PHL_DEM_PWR_SUR_WAT,2043,999999.0
RE1,PHL_DEM_PWR_SUR_WAT,2044,999999.0
RE1,PHL_DEM_PWR_SUR_WAT,2045,999999.0
RE1,PHL_DEM_PWR_SUR_WAT,2046,999999.0
RE1,PHL_DEM_PWR_SUR_WAT,2047,999999.0
RE1,PHL_DEM_PWR_SUR_WAT,2048,999999.0
RE1,PHL_DEM_PWR_SUR_WAT,2049,999999.0
RE1,PHL_DEM_PWR_SUR_WAT,2050,999999.0
RE1,PHL_DEM_PWR_SUR_WAT,2051,999999.0
RE1,PHL_DEM_PWR_SUR_WAT,2052,999999.0
RE1,PHL_DEM_PWR_SUR_WAT,2053,999999.0
RE1,PHL_DEM_PUB_GWT_WAT,2020,999999.0
RE1,PHL_DEM_PUB_GWT_WAT,2021,999999.0
RE1,PHL_DEM_PUB_GWT_WAT,2022,999999.0
RE1,PHL_DEM_PUB_GWT_WAT,2023,999999.0
RE1,PHL_DEM_PUB_GWT_WAT,2024,999999.0
RE1,PHL_DEM_PUB_GWT_WAT,2025,999999.0
RE1,PHL_DEM_PUB_GWT_WAT,2026,999999.0
RE1,PHL_DEM_PUB_GWT_WAT,2027,999999.0
RE1,PHL_DEM_PUB_GWT_WAT,2028,999999.0
RE1,PHL_DEM_PUB_GWT_WAT,2029,999999.0
RE1,PHL_DEM_PUB_GWT_WAT,2030,999999.0
RE1,PHL_DEM_PUB_GWT_WAT,2031,999999.0
RE1,PHL_DEM_PUB_GWT_WAT,2032,999999.0
RE1,PHL_DEM_PUB_GWT_WAT,2033,999999.0
RE1,PHL_DEM_PUB_GWT_WAT,2034,999999.0
RE1,PHL_DEM_PUB_GWT_WAT,2035,999999.0
RE1,PHL_DEM_PUB_GWT_WAT,2036,999999.0
RE1,PHL_DEM_PUB_GWT_WAT,2037,999999.0
RE1,PHL_DEM_PUB_GWT_WAT,2038,999999.0
RE1,PHL_DEM_PUB_GWT_WAT,2039,999999.0
RE1,PHL_DEM_PUB_GWT_WAT,2040,999999.0
RE1,PHL_DEM_PUB_GWT_WAT,2041,999999.0
RE1,PHL_DEM_PUB_GWT_WAT,2042,999999.0
RE1,PHL_DEM_PUB_GWT_WAT,2043,999999.0
RE1,PHL_DEM_PUB_GWT_WAT,2044,999999.0
RE1,PHL_DEM_PUB_GWT_WAT,2045,999999.0
RE1,PHL_DEM_PUB_GWT_WAT,2046,999999.0
RE1,PHL_DEM_PUB_GWT_WAT,2047,999999.0
RE1,PHL_DEM_PUB_GWT_WAT,2048,999999.0
RE1,PHL_DEM_PUB_GWT_WAT,2049,999999.0
RE1,PHL_DEM_PUB_GWT_WAT,2050,999999.0
RE1,PHL_DEM_PUB_GWT_WAT,2051,999999.0
RE1,PHL_DEM_PUB_GWT_WAT,2052,999999.0
RE1,PHL_DEM_PUB_GWT_WAT,2053,999999.0
RE1,PHL_DEM_PUB_SUR_WAT,2020,999999.0
RE1,PHL_DEM_PUB_SUR_WAT,2021,999999.0
RE1,PHL_DEM_PUB_SUR_WAT,2022,999999.0
RE1,PHL_DEM_PUB_SUR_WAT,2023,999999.0
RE1,PHL_DEM_PUB_SUR_WAT,2024,999999.0
RE1,PHL_DEM_PUB_SUR_WAT,2025,999999.0
RE1,PHL_DEM_PUB_SUR_WAT,2026,999999.0
RE1,PHL_DEM_PUB_SUR_WAT,2027,999999.0
RE1,PHL_DEM_PUB_SUR_WAT,2028,999999.0
RE1,PHL_DEM_PUB_SUR_WAT,2029,999999.0
RE1,PHL_DEM_PUB_SUR_WAT,2030,999999.0
RE1,PHL_DEM_PUB_SUR_WAT,2031,999999.0
RE1,PHL_DEM_PUB_SUR_WAT,2032,999999.0
RE1,PHL_DEM_PUB_SUR_WAT,2033,999999.0
RE1,PHL_DEM_PUB_SUR_WAT,2034,999999.0
RE1,PHL_DEM_PUB_SUR_WAT,2035,999999.0
RE1,PHL_DEM_PUB_SUR_WAT,2036,999999.0
RE1,PHL_DEM_PUB_SUR_WAT,2037,999999.0
RE1,PHL_DEM_PUB_SUR_WAT,2038,999999.0
RE1,PHL_DEM_PUB_SUR_WAT,2039,999999.0
RE1,PHL_DEM_PUB_SUR_WAT,2040,999999.0
RE1,PHL_DEM_PUB_SUR_WAT,2041,999999.0
RE1,PHL_DEM_PUB_SUR_WAT,2042,999999.0
RE1,PHL_DEM_PUB_SUR_WAT,2043,999999.0
RE1,PHL_DEM_PUB_SUR_WAT,2044,999999.0
RE1,PHL_DEM_PUB_SUR_WAT,2045,999999.0
RE1,PHL_DEM_PUB_SUR_WAT,2046,999999.0
RE1,PHL_DEM_PUB_SUR_WAT,2047,999999.0
RE1,PHL_DEM_PUB_SUR_WAT,2048,999999.0
RE1,PHL_DEM_PUB_SUR_WAT,2049,999999.0
RE1,PHL_DEM_PUB_SUR_WAT,2050,999999.0
RE1,PHL_DEM_PUB_SUR_WAT,2051,999999.0
RE1,PHL_DEM_PUB_SUR_WAT,2052,999999.0
RE1,PHL_DEM_PUB_SUR_WAT,2053,999999.0
RE1,PHL_MIN_PRC,2020,999999.0
RE1,PHL_MIN_PRC,2021,999999.0
RE1,PHL_MIN_PRC,2022,999999.0
RE1,PHL_MIN_PRC,2023,999999.0
RE1,PHL_MIN_PRC,2024,999999.0
RE1,PHL_MIN_PRC,2025,999999.0
RE1,PHL_MIN_PRC,2026,999999.0
RE1,PHL_MIN_PRC,2027,999999.0
RE1,PHL_MIN_PRC,2028,999999.0
RE1,PHL_MIN_PRC,2029,999999.0
RE1,PHL_MIN_PRC,2030,999999.0
RE1,PHL_MIN_PRC,2031,999999.0
RE1,PHL_MIN_PRC,2032,999999.0
RE1,PHL_MIN_PRC,2033,999999.0
RE1,PHL_MIN_PRC,2034,999999.0
RE1,PHL_MIN_PRC,2035,999999.0
RE1,PHL_MIN_PRC,2036,999999.0
RE1,PHL_MIN_PRC,2037,999999.0
RE1,PHL_MIN_PRC,2038,999999.0
RE1,PHL_MIN_PRC,2039,999999.0
RE1,PHL_MIN_PRC,2040,999999.0
RE1,PHL_MIN_PRC,2041,999999.0
RE1,PHL_MIN_PRC,2042,999999.0
RE1,PHL_MIN_PRC,2043,999999.0
RE1,PHL_MIN_PRC,2044,999999.0
RE1,PHL_MIN_PRC,2045,999999.0
RE1,PHL_MIN_PRC,2046,999999.0
RE1,PHL_MIN_PRC,2047,999999.0
RE1,PHL_MIN_PRC,2048,999999.0
RE1,PHL_MIN_PRC,2049,999999.0
RE1,PHL_MIN_PRC,2050,999999.0
RE1,PHL_MIN_PRC,2051,999999.0
RE1,PHL_MIN_PRC,2052,999999.0
RE1,PHL_MIN_PRC,2053,999999.0
RE1,PHL_AGR_MOT_ELE,2020,0.0
RE1,PHL_AGR_MOT_ELE,2021,0.0
RE1,PHL_AGR_MOT_ELE,2022,0.0
RE1,PHL_AGR_MOT_ELE,2023,0.0
RE1,PHL_AGR_MOT_ELE,2024,0.0
RE1,PHL_AGR_MOT_ELE,2025,0.0
RE1,PHL_AGR_MOT_ELE,2026,0.0
RE1,PHL_AGR_MOT_ELE,2027,0.0
RE1,PHL_AGR_MOT_ELE,2028,0.0
RE1,PHL_AGR_MOT_ELE,2029,0.0
RE1,PHL_AGR_MOT_ELE,2030,0.0
RE1,PHL_AGR_MOT_ELE,2031,0.0
RE1,PHL_AGR_MOT_ELE,2032,0.0
RE1,PHL_AGR_MOT_ELE,2033,0.0
RE1,PHL_AGR_MOT_ELE,2034,0.0
RE1,PHL_AGR_MOT_ELE,2035,0.0
RE1,PHL_AGR_MOT_ELE,2036,0.0
RE1,PHL_AGR_MOT_ELE,2037,0.0
RE1,PHL_AGR_MOT_ELE,2038,0.0
RE1,PHL_AGR_MOT_ELE,2039,0.0
RE1,PHL_AGR_MOT_ELE,2040,0.0
RE1,PHL_AGR_MOT_ELE,2041,0.0
RE1,PHL_AGR_MOT_ELE,2042,0.0
RE1,PHL_AGR_MOT_ELE,2043,0.0
RE1,PHL_AGR_MOT_ELE,2044,0.0
RE1,PHL_AGR_MOT_ELE,2045,0.0
RE1,PHL_AGR_MOT_ELE,2046,0.0
RE1,PHL_AGR_MOT_ELE,2047,0.0
RE1,PHL_AGR_MOT_ELE,2048,0.0
RE1,PHL_AGR_MOT_ELE,2049,0.0
RE1,PHL_AGR_MOT_ELE,2050,0.0
RE1,PHL_AGR_MOT_ELE,2051,0.0
RE1,PHL_AGR_MOT_ELE,2052,0.0
RE1,PHL_AGR_MOT_ELE,2053,0.0
RE1,PHL_AGR_MOT_LIQ,2020,258.9921
RE1,PHL_AGR_MOT_LIQ,2021,264.8225
RE1,PHL_AGR_MOT_LIQ,2022,270.6529
RE1,PHL_AGR_MOT_LIQ,2023,276.4833
RE1,PHL_AGR_MOT_LIQ,2024,282.3137
RE1,PHL_AGR_MOT_LIQ,2025,288.144
RE1,PHL_AGR_MOT_LIQ,2026,294.4654
RE1,PHL_AGR_MOT_LIQ,2027,300.7868
RE1,PHL_AGR_MOT_LIQ,2028,307.1081
RE1,PHL_AGR_MOT_LIQ,2029,313.4295
RE1,PHL_AGR_MOT_LIQ,2030,319.7508
RE1,PHL_AGR_MOT_LIQ,2031,326.9326
RE1,PHL_AGR_MOT_LIQ,2032,334.1143
RE1,PHL_AGR_MOT_LIQ,2033,341.296
RE1,PHL_AGR_MOT_LIQ,2034,348.4777
RE1,PHL_AGR_MOT_LIQ,2035,355.6594
RE1,PHL_AGR_MOT_LIQ,2036,364.2035
RE1,PHL_AGR_MOT_LIQ,2037,372.7475
RE1,PHL_AGR_MOT_LIQ,2038,381.2916
RE1,PHL_AGR_MOT_LIQ,2039,389.8356
RE1,PHL_AGR_MOT_LIQ,2040,398.3797
RE1,PHL_AGR_MOT_LIQ,2041,408.3247
RE1,PHL_AGR_MOT_LIQ,2042,418.2698
RE1,PHL_AGR_MOT_LIQ,2043,428.2148
RE1,PHL_AGR_MOT_LIQ,2044,438.1599
RE1,PHL_AGR_MOT_LIQ,2045,448.105
RE1,PHL_AGR_MOT_LIQ,2046,459.4445
RE1,PHL_AGR_MOT_LIQ,2047,470.784
RE1,PHL_AGR_MOT_LIQ,2048,482.1235
RE1,PHL_AGR_MOT_LIQ,2049,493.463
RE1,PHL_AGR_MOT_LIQ,2050,504.8025
RE1,PHL_AGR_MOT_LIQ,2051,517.2698
RE1,PHL_AGR_MOT_LIQ,2052,529.737
RE1,PHL_AGR_MOT_LIQ,2053,542.2043
RE1,PHL_AGR_UNIT,2020,999999.0
RE1,PHL_AGR_UNIT,2021,999999.0
RE1,PHL_AGR_UNIT,2022,999999.0
