Sum of AnnualFixedOperatingCost,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,(blank),Grand Total
PHL_INDU_OTHHPH_OIL,18.9017,19.0371,19.154,19.2541,19.3393,19.4109,19.4705,19.5192,19.5581,19.5883,20.2198,20.1729,20.1259,20.0789,20.0319,19.9849,19.938,19.891,19.844,19.797,19.75,19.7031,19.6561,19.6091,19.6072,0,0,0,0,0,0,0,0,0,,491.643
PHL_INDU_OTHLPH_BIOM,21.7385,21.6369,21.5356,21.4344,21.3336,21.2331,21.1332,21.0339,20.9355,20.8381,20.7326,20.6332,20.5341,20.4358,20.3388,20.2436,20.1505,20.0596,19.9711,19.8851,19.7488,19.6516,19.5609,19.4745,19.4293,0,0,0,0,0,0,0,0,0,,513.7023
PHL_INDU_OTHLPH_COAL,48.5007,72.5705,92.5485,106.2223,123.0357,139.8179,152.4198,155.2032,157.9735,160.7318,163.2323,166.3866,169.5184,172.6331,175.7353,178.8292,182.6014,186.3681,190.1323,193.8964,197.1338,201.4156,205.7318,210.0802,214.459,218.8663,223.98,229.1162,234.2737,239.4512,241.8911,247.8651,253.8392,259.8132,,6166.2734
PHL_INDU_OTHLPH_ELE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_INDU_OTHLPH_H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_INDU_OTHLPH_NG,0.1769,0.1779,0.1786,0.1792,0.1797,0.1801,0.1803,0.1805,0.1805,0.1805,0.1857,0.185,0.1843,0.1836,0.183,0.1823,0.1816,0.1809,0.1803,0.1796,0.1789,0.1782,0.1768,0.1768,0.1768,0,0,0,0,0,0,0,0,0,,4.508
PHL_INDU_OTHLPH_OIL,18.9017,19.0257,19.131,19.2194,19.2926,19.3523,19.3997,19.4362,19.4629,19.4807,20.0962,20.0369,19.9775,19.9182,19.8588,19.7995,19.7402,19.6808,19.6215,19.6185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,391.0503
PHL_INDU_PLANT_OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_LND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_LND_BLT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_LND_CRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
