r,l,f,y,Demand
RE1,1,PHL_AGR_MOT,2030,0.3343
RE1,1,PHL_AGR_MOT,2031,0.3418
RE1,1,PHL_AGR_MOT,2032,0.3493
RE1,1,PHL_AGR_MOT,2033,0.3568
RE1,1,PHL_AGR_MOT,2034,0.3643
RE1,1,PHL_AGR_MOT,2035,0.3718
RE1,1,PHL_AGR_MOT,2036,0.3807
RE1,1,PHL_AGR_MOT,2037,0.3897
RE1,1,PHL_AGR_MOT,2038,0.3986
RE1,1,PHL_AGR_MOT,2039,0.4075
RE1,1,PHL_AGR_MOT,2040,0.4165
RE1,1,PHL_AGR_MOT,2041,0.4269
RE1,1,PHL_AGR_MOT,2042,0.4373
RE1,1,PHL_AGR_MOT,2043,0.4477
RE1,1,PHL_AGR_MOT,2044,0.4581
RE1,1,PHL_AGR_MOT,2045,0.4685
RE1,1,PHL_AGR_MOT,2046,0.4803
RE1,1,PHL_AGR_MOT,2047,0.4922
RE1,1,PHL_AGR_MOT,2048,0.504
RE1,1,PHL_AGR_MOT,2049,0.5159
RE1,1,PHL_AGR_MOT,2050,0.5277
RE1,1,PHL_AGR_MOT,2051,0.5408
RE1,1,PHL_AGR_MOT,2052,0.5538
RE1,1,PHL_AGR_MOT,2053,0.5668
RE1,1,PHL_AGR_PRO,2020,0.3188
RE1,1,PHL_AGR_PRO,2021,0.326
RE1,1,PHL_AGR_PRO,2022,0.3332
RE1,1,PHL_AGR_PRO,2023,0.3403
RE1,1,PHL_AGR_PRO,2024,0.3475
RE1,1,PHL_AGR_PRO,2025,0.3547
RE1,1,PHL_AGR_PRO,2026,0.3625
RE1,1,PHL_AGR_PRO,2027,0.3703
RE1,1,PHL_AGR_PRO,2028,0.378
RE1,1,PHL_AGR_PRO,2029,0.3858
RE1,1,PHL_AGR_PRO,2030,0.3936
RE1,1,PHL_AGR_PRO,2031,0.4024
RE1,1,PHL_AGR_PRO,2032,0.4113
RE1,1,PHL_AGR_PRO,2033,0.4201
RE1,1,PHL_AGR_PRO,2034,0.429
RE1,1,PHL_AGR_PRO,2035,0.4378
RE1,1,PHL_AGR_PRO,2036,0.4483
RE1,1,PHL_AGR_PRO,2037,0.4588
RE1,1,PHL_AGR_PRO,2038,0.4694
RE1,1,PHL_AGR_PRO,2039,0.4799
RE1,1,PHL_AGR_PRO,2040,0.4904
RE1,1,PHL_AGR_PRO,2041,0.5026
RE1,1,PHL_AGR_PRO,2042,0.5149
RE1,1,PHL_AGR_PRO,2043,0.5271
RE1,1,PHL_AGR_PRO,2044,0.5394
RE1,1,PHL_AGR_PRO,2045,0.5516
RE1,1,PHL_AGR_PRO,2046,0.5656
RE1,1,PHL_AGR_PRO,2047,0.5795
RE1,1,PHL_AGR_PRO,2048,0.5935
RE1,1,PHL_AGR_PRO,2049,0.6074
RE1,1,PHL_AGR_PRO,2050,0.6214
RE1,1,PHL_AGR_PRO,2051,0.6367
RE1,1,PHL_AGR_PRO,2052,0.6521
RE1,1,PHL_AGR_PRO,2053,0.6674
RE1,1,PHL_AGR_HEAT,2020,0.0
RE1,1,PHL_AGR_HEAT,2021,0.0
RE1,1,PHL_AGR_HEAT,2022,0.0
RE1,1,PHL_AGR_HEAT,2023,0.0
RE1,1,PHL_AGR_HEAT,2024,0.0
RE1,1,PHL_AGR_HEAT,2025,0.0
RE1,1,PHL_AGR_HEAT,2026,0.0
RE1,1,PHL_AGR_HEAT,2027,0.0
RE1,1,PHL_AGR_HEAT,2028,0.0
RE1,1,PHL_AGR_HEAT,2029,0.0
RE1,1,PHL_AGR_HEAT,2030,0.0
RE1,1,PHL_AGR_HEAT,2031,0.0
RE1,1,PHL_AGR_HEAT,2032,0.0
RE1,1,PHL_AGR_HEAT,2033,0.0
RE1,1,PHL_AGR_HEAT,2034,0.0
RE1,1,PHL_AGR_HEAT,2035,0.0
RE1,1,PHL_AGR_HEAT,2036,0.0
RE1,1,PHL_AGR_HEAT,2037,0.0
RE1,1,PHL_AGR_HEAT,2038,0.0
RE1,1,PHL_AGR_HEAT,2039,0.0
RE1,1,PHL_AGR_HEAT,2040,0.0
RE1,1,PHL_AGR_HEAT,2041,0.0
RE1,1,PHL_AGR_HEAT,2042,0.0
RE1,1,PHL_AGR_HEAT,2043,0.0
RE1,1,PHL_AGR_HEAT,2044,0.0
RE1,1,PHL_AGR_HEAT,2045,0.0
RE1,1,PHL_AGR_HEAT,2046,0.0
RE1,1,PHL_AGR_HEAT,2047,0.0
RE1,1,PHL_AGR_HEAT,2048,0.0
RE1,1,PHL_AGR_HEAT,2049,0.0
RE1,1,PHL_AGR_HEAT,2050,0.0
RE1,1,PHL_AGR_HEAT,2051,0.0
RE1,1,PHL_AGR_HEAT,2052,0.0
RE1,1,PHL_AGR_HEAT,2053,0.0
RE1,1,PHL_AGR_ELEF,2020,0.0
RE1,1,PHL_AGR_ELEF,2021,0.0
RE1,1,PHL_AGR_ELEF,2022,0.0
RE1,1,PHL_AGR_ELEF,2023,0.0
RE1,1,PHL_AGR_ELEF,2024,0.0
RE1,1,PHL_AGR_ELEF,2025,0.0
RE1,1,PHL_AGR_ELEF,2026,0.0
RE1,1,PHL_AGR_ELEF,2027,0.0
RE1,1,PHL_AGR_ELEF,2028,0.0
RE1,1,PHL_AGR_ELEF,2029,0.0
RE1,1,PHL_AGR_ELEF,2030,0.0
RE1,1,PHL_AGR_ELEF,2031,0.0
RE1,1,PHL_AGR_ELEF,2032,0.0
RE1,1,PHL_AGR_ELEF,2033,0.0
RE1,1,PHL_AGR_ELEF,2034,0.0
RE1,1,PHL_AGR_ELEF,2035,0.0
RE1,1,PHL_AGR_ELEF,2036,0.0
RE1,1,PHL_AGR_ELEF,2037,0.0
RE1,1,PHL_AGR_ELEF,2038,0.0
RE1,1,PHL_AGR_ELEF,2039,0.0
RE1,1,PHL_AGR_ELEF,2040,0.0
RE1,1,PHL_AGR_ELEF,2041,0.0
RE1,1,PHL_AGR_ELEF,2042,0.0
RE1,1,PHL_AGR_ELEF,2043,0.0
RE1,1,PHL_AGR_ELEF,2044,0.0
RE1,1,PHL_AGR_ELEF,2045,0.0
RE1,1,PHL_AGR_ELEF,2046,0.0
RE1,1,PHL_AGR_ELEF,2047,0.0
RE1,1,PHL_AGR_ELEF,2048,0.0
RE1,1,PHL_AGR_ELEF,2049,0.0
RE1,1,PHL_AGR_ELEF,2050,0.0
RE1,1,PHL_AGR_ELEF,2051,0.0
RE1,1,PHL_AGR_ELEF,2052,0.0
RE1,1,PHL_AGR_ELEF,2053,0.0
RE1,1,PHL_AGR_ELE,2020,0.0
RE1,1,PHL_AGR_ELE,2021,0.0
RE1,1,PHL_AGR_ELE,2022,0.0
RE1,1,PHL_AGR_ELE,2023,0.0
RE1,1,PHL_AGR_ELE,2024,0.0
RE1,1,PHL_AGR_ELE,2025,0.0
RE1,1,PHL_AGR_ELE,2026,0.0
RE1,1,PHL_AGR_ELE,2027,0.0
RE1,1,PHL_AGR_ELE,2028,0.0
RE1,1,PHL_AGR_ELE,2029,0.0
RE1,1,PHL_AGR_ELE,2030,0.0
RE1,1,PHL_AGR_ELE,2031,0.0
RE1,1,PHL_AGR_ELE,2032,0.0
RE1,1,PHL_AGR_ELE,2033,0.0
RE1,1,PHL_AGR_ELE,2034,0.0
RE1,1,PHL_AGR_ELE,2035,0.0
RE1,1,PHL_AGR_ELE,2036,0.0
RE1,1,PHL_AGR_ELE,2037,0.0
RE1,1,PHL_AGR_ELE,2038,0.0
RE1,1,PHL_AGR_ELE,2039,0.0
RE1,1,PHL_AGR_ELE,2040,0.0
RE1,1,PHL_AGR_ELE,2041,0.0
RE1,1,PHL_AGR_ELE,2042,0.0
RE1,1,PHL_AGR_ELE,2043,0.0
RE1,1,PHL_AGR_ELE,2044,0.0
RE1,1,PHL_AGR_ELE,2045,0.0
RE1,1,PHL_AGR_ELE,2046,0.0
RE1,1,PHL_AGR_ELE,2047,0.0
RE1,1,PHL_AGR_ELE,2048,0.0
RE1,1,PHL_AGR_ELE,2049,0.0
RE1,1,PHL_AGR_ELE,2050,0.0
RE1,1,PHL_AGR_ELE,2051,0.0
RE1,1,PHL_AGR_ELE,2052,0.0
RE1,1,PHL_AGR_ELE,2053,0.0
RE1,1,PHL_LND_LOTH,2020,0.0
RE1,1,PHL_LND_LOTH,2021,0.0
RE1,1,PHL_LND_LOTH,2022,0.0
RE1,1,PHL_LND_LOTH,2023,0.0
RE1,1,PHL_LND_LOTH,2024,0.0
RE1,1,PHL_LND_LOTH,2025,0.0
RE1,1,PHL_LND_LOTH,2026,0.0
RE1,1,PHL_LND_LOTH,2027,0.0
