Sum of UseByTechnologyByMode,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,Grand Total
PHL_POW_CHP_BIOM_OLD,23.133,,,,,,,,,,,,,,,,,,,,11.1216,0.0056,0.0554,0.0594,0.0679,0.0811,0.1752,0.18,0.18,0.1692,0.1152,3.0678,0.1107,0.1104,38.6325
PHL_POW_CHP_COAL_OLD,668.009,851.8112,827.1572,897.2913,857.9991,889.1591,829.2309,771.8228,711.2254,650.6279,593.2195,532.6216,475.2129,414.6155,357.2069,296.6092,236.0114,178.6035,118.0059,60.5977,,,,,,,,,,,,,,,11217.038
PHL_POW_CHP_NG_OLD,133.383,,,4.4034,14.7852,10.9188,3.5796,2.8596,12.078,20.316,17.6864,7.0546,1.413,,,,,,13.6002,9.6876,4.876,2.3632,2.4623,2.4628,2.4641,2.466,,,,,,,,,268.8598
PHL_POW_CHP_OIL_OLD,51.1108,,,,,,,,,,,,,,,,,,,,0.0842,,,,,,0.0412,0.1263,0.1178,0.0737,0.0826,0.0826,0.0551,0.0462,51.8205
PHL_POW_PP_COAL,,53.373,110.0142,124.3524,168.525,178.107,292.0458,369.4998,378.5034,381.3876,386.1961,491.4162,588.2046,684.7324,775.5032,861.9506,964.7268,1039.9606,1078.8052,1094.6716,1008.5622,983.8464,976.4676,972.9478,965.581,963.394,932.2618,900.8276,878.667,843.0662,823.074,764.659,698.9644,682.1814,22416.4759
PHL_POW_PP_NGCC,,,,,,12.4778,10.0826,9.4534,10.9824,11.9805,9.8172,7.8362,5.2438,1.646,,,,22.189,55.0797,97.4052,55.7778,35.1807,33.8222,33.0544,32.1646,32.8561,33.9834,39.5623,30.5723,28.8822,57.1934,70.1664,65.2177,64.4142,867.0415
PHL_POW_PP_NUSMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.9814,47.9506,116.4332,946.913,1092.665,1278.1132,1378.925,4883.9814
PHL_POW_TD,366.3974,366.2939,384.7682,406.4013,424.3691,446.3082,471.0438,485.4713,510.2729,534.9669,563.9524,593.6489,622.8098,651.9715,681.9484,708.0673,745.1275,782.5221,820.0738,857.7043,894.8874,856.7562,856.4504,856.9996,858.4417,860.8119,865.7477,871.7341,878.7378,884.924,1301.9219,1339.7102,1376.9859,1414.2622,25542.49
Grand Total,1242.0332,1271.4781,1321.9396,1432.4484,1465.6784,1536.9709,1605.9827,1639.1069,1623.0621,1599.2789,1570.8716,1632.5775,1692.8841,1752.9654,1814.6585,1866.6271,1945.8657,2023.2752,2085.5648,2120.0664,1975.3092,1878.1521,1869.2579,1865.524,1858.7193,1859.6091,1832.2093,1835.4117,1836.2255,1873.5485,3129.3001,3270.351,3419.447,3539.9394,65286.3396
