r,t,e,m,y,AnnualTechnologyEmissionByMode
RE1,PHL_POW_PP_NGCC_CCS,CO2e,1,2020,0.0
RE1,PHL_POW_PP_NGCC_CCS,CO2e,1,2021,0.0
RE1,PHL_POW_PP_NGCC_CCS,CO2e,1,2022,0.0
RE1,PHL_POW_PP_NGCC_CCS,CO2e,1,2023,0.0
RE1,PHL_POW_PP_NGCC_CCS,CO2e,1,2024,0.0
RE1,PHL_POW_PP_NGCC_CCS,CO2e,1,2025,0.0
RE1,PHL_POW_PP_NGCC_CCS,CO2e,1,2026,0.0
RE1,PHL_POW_PP_NGCC_CCS,CO2e,1,2027,0.0
RE1,PHL_POW_PP_NGCC_CCS,CO2e,1,2028,0.0
RE1,PHL_POW_PP_NGCC_CCS,CO2e,1,2029,0.0
RE1,PHL_POW_PP_NGCC_CCS,CO2e,1,2030,0.0
RE1,PHL_POW_PP_NGCC_CCS,CO2e,1,2031,0.0
RE1,PHL_POW_PP_NGCC_CCS,CO2e,1,2032,0.0
RE1,PHL_POW_PP_NGCC_CCS,CO2e,1,2033,0.0
RE1,PHL_POW_PP_NGCC_CCS,CO2e,1,2034,0.0
RE1,PHL_POW_PP_NGCC_CCS,CO2e,1,2035,0.0
RE1,PHL_POW_PP_NGCC_CCS,CO2e,1,2036,0.0
RE1,PHL_POW_PP_NGCC_CCS,CO2e,1,2037,0.0
RE1,PHL_POW_PP_NGCC_CCS,CO2e,1,2038,0.0
RE1,PHL_POW_PP_NGCC_CCS,CO2e,1,2039,0.0
RE1,PHL_POW_PP_NGCC_CCS,CO2e,1,2040,0.0
RE1,PHL_POW_PP_NGCC_CCS,CO2e,1,2041,0.0
RE1,PHL_POW_PP_NGCC_CCS,CO2e,1,2042,0.0
RE1,PHL_POW_PP_NGCC_CCS,CO2e,1,2043,0.0
RE1,PHL_POW_PP_NGCC_CCS,CO2e,1,2044,0.0
RE1,PHL_POW_PP_NGCC_CCS,CO2e,1,2045,0.0
RE1,PHL_POW_PP_NGCC_CCS,CO2e,1,2046,0.0
RE1,PHL_POW_PP_NGCC_CCS,CO2e,1,2047,0.0
RE1,PHL_POW_PP_NGCC_CCS,CO2e,1,2048,0.0
RE1,PHL_POW_PP_NGCC_CCS,CO2e,1,2049,0.0
RE1,PHL_POW_PP_NGCC_CCS,CO2e,1,2050,0.0
RE1,PHL_POW_PP_NGCC_CCS,CO2e,1,2051,0.0
RE1,PHL_POW_PP_NGCC_CCS,CO2e,1,2052,0.0
RE1,PHL_POW_PP_NGCC_CCS,CO2e,1,2053,0.0
RE1,PHL_POW_PP_COAL_CCS,CO2e,1,2020,0.0
RE1,PHL_POW_PP_COAL_CCS,CO2e,1,2021,0.0
RE1,PHL_POW_PP_COAL_CCS,CO2e,1,2022,0.0
RE1,PHL_POW_PP_COAL_CCS,CO2e,1,2023,0.0
RE1,PHL_POW_PP_COAL_CCS,CO2e,1,2024,0.0
RE1,PHL_POW_PP_COAL_CCS,CO2e,1,2025,0.0
RE1,PHL_POW_PP_COAL_CCS,CO2e,1,2026,0.0
RE1,PHL_POW_PP_COAL_CCS,CO2e,1,2027,0.0
RE1,PHL_POW_PP_COAL_CCS,CO2e,1,2028,0.0
RE1,PHL_POW_PP_COAL_CCS,CO2e,1,2029,0.0
RE1,PHL_POW_PP_COAL_CCS,CO2e,1,2030,0.0
RE1,PHL_POW_PP_COAL_CCS,CO2e,1,2031,0.0
RE1,PHL_POW_PP_COAL_CCS,CO2e,1,2032,0.0
RE1,PHL_POW_PP_COAL_CCS,CO2e,1,2033,0.0
RE1,PHL_POW_PP_COAL_CCS,CO2e,1,2034,0.0
RE1,PHL_POW_PP_COAL_CCS,CO2e,1,2035,0.0
RE1,PHL_POW_PP_COAL_CCS,CO2e,1,2036,0.0
RE1,PHL_POW_PP_COAL_CCS,CO2e,1,2037,0.0
RE1,PHL_POW_PP_COAL_CCS,CO2e,1,2038,0.0
RE1,PHL_POW_PP_COAL_CCS,CO2e,1,2039,0.0
RE1,PHL_POW_PP_COAL_CCS,CO2e,1,2040,0.0
RE1,PHL_POW_PP_COAL_CCS,CO2e,1,2041,0.0
RE1,PHL_POW_PP_COAL_CCS,CO2e,1,2042,0.0
RE1,PHL_POW_PP_COAL_CCS,CO2e,1,2043,0.0
RE1,PHL_POW_PP_COAL_CCS,CO2e,1,2044,0.0
RE1,PHL_POW_PP_COAL_CCS,CO2e,1,2045,0.0
RE1,PHL_POW_PP_COAL_CCS,CO2e,1,2046,0.0
RE1,PHL_POW_PP_COAL_CCS,CO2e,1,2047,0.0
RE1,PHL_POW_PP_COAL_CCS,CO2e,1,2048,0.0
RE1,PHL_POW_PP_COAL_CCS,CO2e,1,2049,0.0
RE1,PHL_POW_PP_COAL_CCS,CO2e,1,2050,0.0
RE1,PHL_POW_PP_COAL_CCS,CO2e,1,2051,0.0
RE1,PHL_POW_PP_COAL_CCS,CO2e,1,2052,0.0
RE1,PHL_POW_PP_COAL_CCS,CO2e,1,2053,0.0
RE1,PHL_PRO_PROC_NG,CO2e,1,2020,7.3094
RE1,PHL_PRO_PROC_NG,CO2e,1,2021,8.0315
RE1,PHL_PRO_PROC_NG,CO2e,1,2022,8.0246
RE1,PHL_PRO_PROC_NG,CO2e,1,2023,7.3979
RE1,PHL_PRO_PROC_NG,CO2e,1,2024,8.4052
RE1,PHL_PRO_PROC_NG,CO2e,1,2025,2.1297
RE1,PHL_PRO_PROC_NG,CO2e,1,2026,2.5266
RE1,PHL_PRO_PROC_NG,CO2e,1,2027,2.4565
RE1,PHL_PRO_PROC_NG,CO2e,1,2028,2.282
RE1,PHL_PRO_PROC_NG,CO2e,1,2029,2.8785
RE1,PHL_PRO_PROC_NG,CO2e,1,2030,2.9381
RE1,PHL_PRO_PROC_NG,CO2e,1,2031,3.0524
RE1,PHL_PRO_PROC_NG,CO2e,1,2032,4.4241
RE1,PHL_PRO_PROC_NG,CO2e,1,2033,7.1202
RE1,PHL_PRO_PROC_NG,CO2e,1,2034,7.8858
RE1,PHL_PRO_PROC_NG,CO2e,1,2035,8.673
RE1,PHL_PRO_PROC_NG,CO2e,1,2036,11.5906
RE1,PHL_PRO_PROC_NG,CO2e,1,2037,11.5469
RE1,PHL_PRO_PROC_NG,CO2e,1,2038,11.0377
RE1,PHL_PRO_PROC_NG,CO2e,1,2039,12.5874
RE1,PHL_PRO_PROC_NG,CO2e,1,2040,14.4619
RE1,PHL_PRO_PROC_NG,CO2e,1,2041,15.4284
RE1,PHL_PRO_PROC_NG,CO2e,1,2042,16.4437
RE1,PHL_PRO_PROC_NG,CO2e,1,2043,17.8357
RE1,PHL_PRO_PROC_NG,CO2e,1,2044,18.84
