r,t,e,m,y,AnnualTechnologyEmissionByMode
RE1,PHL_POW_DAC,CO2e,1,2024,0.0
RE1,PHL_POW_DAC,CO2e,1,2025,0.0
RE1,PHL_POW_DAC,CO2e,1,2026,0.0
RE1,PHL_POW_DAC,CO2e,1,2027,0.0
RE1,PHL_POW_DAC,CO2e,1,2028,0.0
RE1,PHL_POW_DAC,CO2e,1,2029,0.0
RE1,PHL_POW_DAC,CO2e,1,2030,0.0
RE1,PHL_POW_DAC,CO2e,1,2031,0.0
RE1,PHL_POW_DAC,CO2e,1,2032,0.0
RE1,PHL_POW_DAC,CO2e,1,2033,0.0
RE1,PHL_POW_DAC,CO2e,1,2034,0.0
RE1,PHL_POW_DAC,CO2e,1,2035,0.0
RE1,PHL_POW_DAC,CO2e,1,2036,0.0
RE1,PHL_POW_DAC,CO2e,1,2037,0.0
RE1,PHL_POW_DAC,CO2e,1,2038,0.0
RE1,PHL_POW_DAC,CO2e,1,2039,0.0
RE1,PHL_POW_DAC,CO2e,1,2040,0.0
RE1,PHL_POW_DAC,CO2e,1,2041,0.0
RE1,PHL_POW_DAC,CO2e,1,2042,0.0
RE1,PHL_POW_DAC,CO2e,1,2043,0.0
RE1,PHL_POW_DAC,CO2e,1,2044,0.0
RE1,PHL_POW_DAC,CO2e,1,2045,0.0
RE1,PHL_POW_DAC,CO2e,1,2046,0.0
RE1,PHL_POW_DAC,CO2e,1,2047,0.0
RE1,PHL_POW_DAC,CO2e,1,2048,0.0
RE1,PHL_POW_DAC,CO2e,1,2049,0.0
RE1,PHL_POW_DAC,CO2e,1,2050,0.0
RE1,PHL_POW_DAC,CO2e,1,2051,0.0
RE1,PHL_POW_DAC,CO2e,1,2052,0.0
RE1,PHL_POW_DAC,CO2e,1,2053,0.0
RE1,PHL_POW_PP_BIOM_CCS,CO2e,1,2020,0.0
RE1,PHL_POW_PP_BIOM_CCS,CO2e,1,2021,0.0
RE1,PHL_POW_PP_BIOM_CCS,CO2e,1,2022,0.0
RE1,PHL_POW_PP_BIOM_CCS,CO2e,1,2023,0.0
RE1,PHL_POW_PP_BIOM_CCS,CO2e,1,2024,0.0
RE1,PHL_POW_PP_BIOM_CCS,CO2e,1,2025,0.0
RE1,PHL_POW_PP_BIOM_CCS,CO2e,1,2026,0.0
RE1,PHL_POW_PP_BIOM_CCS,CO2e,1,2027,0.0
RE1,PHL_POW_PP_BIOM_CCS,CO2e,1,2028,0.0
RE1,PHL_POW_PP_BIOM_CCS,CO2e,1,2029,0.0
RE1,PHL_POW_PP_BIOM_CCS,CO2e,1,2030,0.0
RE1,PHL_POW_PP_BIOM_CCS,CO2e,1,2031,0.0
RE1,PHL_POW_PP_BIOM_CCS,CO2e,1,2032,0.0
RE1,PHL_POW_PP_BIOM_CCS,CO2e,1,2033,0.0
RE1,PHL_POW_PP_BIOM_CCS,CO2e,1,2034,0.0
RE1,PHL_POW_PP_BIOM_CCS,CO2e,1,2035,0.0
RE1,PHL_POW_PP_BIOM_CCS,CO2e,1,2036,0.0
RE1,PHL_POW_PP_BIOM_CCS,CO2e,1,2037,0.0
RE1,PHL_POW_PP_BIOM_CCS,CO2e,1,2038,0.0
RE1,PHL_POW_PP_BIOM_CCS,CO2e,1,2039,0.0
RE1,PHL_POW_PP_BIOM_CCS,CO2e,1,2040,0.0
RE1,PHL_POW_PP_BIOM_CCS,CO2e,1,2041,0.0
RE1,PHL_POW_PP_BIOM_CCS,CO2e,1,2042,0.0
RE1,PHL_POW_PP_BIOM_CCS,CO2e,1,2043,0.0
RE1,PHL_POW_PP_BIOM_CCS,CO2e,1,2044,0.0
RE1,PHL_POW_PP_BIOM_CCS,CO2e,1,2045,0.0
RE1,PHL_POW_PP_BIOM_CCS,CO2e,1,2046,0.0
RE1,PHL_POW_PP_BIOM_CCS,CO2e,1,2047,0.0
RE1,PHL_POW_PP_BIOM_CCS,CO2e,1,2048,0.0
RE1,PHL_POW_PP_BIOM_CCS,CO2e,1,2049,0.0
RE1,PHL_POW_PP_BIOM_CCS,CO2e,1,2050,0.0
RE1,PHL_POW_PP_BIOM_CCS,CO2e,1,2051,0.0
RE1,PHL_POW_PP_BIOM_CCS,CO2e,1,2052,0.0
RE1,PHL_POW_PP_BIOM_CCS,CO2e,1,2053,0.0
RE1,PHL_PRO_PROC_OIL,CO2e,1,2020,19.3807
RE1,PHL_PRO_PROC_OIL,CO2e,1,2021,12.8444
RE1,PHL_PRO_PROC_OIL,CO2e,1,2022,11.9772
RE1,PHL_PRO_PROC_OIL,CO2e,1,2023,11.0094
RE1,PHL_PRO_PROC_OIL,CO2e,1,2024,10.1296
RE1,PHL_PRO_PROC_OIL,CO2e,1,2025,9.1744
RE1,PHL_PRO_PROC_OIL,CO2e,1,2026,8.2572
RE1,PHL_PRO_PROC_OIL,CO2e,1,2027,8.0511
RE1,PHL_PRO_PROC_OIL,CO2e,1,2028,7.9874
RE1,PHL_PRO_PROC_OIL,CO2e,1,2029,7.2985
RE1,PHL_PRO_PROC_OIL,CO2e,1,2030,7.1005
RE1,PHL_PRO_PROC_OIL,CO2e,1,2031,7.0513
RE1,PHL_PRO_PROC_OIL,CO2e,1,2032,5.3258
RE1,PHL_PRO_PROC_OIL,CO2e,1,2033,1.835
RE1,PHL_PRO_PROC_OIL,CO2e,1,2034,0.9171
RE1,PHL_PRO_PROC_OIL,CO2e,1,2035,0.0
RE1,PHL_PRO_PROC_OIL,CO2e,1,2036,0.0
RE1,PHL_PRO_PROC_OIL,CO2e,1,2037,0.0
RE1,PHL_PRO_PROC_OIL,CO2e,1,2038,0.0
RE1,PHL_PRO_PROC_OIL,CO2e,1,2039,0.0
RE1,PHL_PRO_PROC_OIL,CO2e,1,2040,0.0
RE1,PHL_PRO_PROC_OIL,CO2e,1,2041,0.0
RE1,PHL_PRO_PROC_OIL,CO2e,1,2042,0.0
RE1,PHL_PRO_PROC_OIL,CO2e,1,2043,0.0
RE1,PHL_PRO_PROC_OIL,CO2e,1,2044,0.0
RE1,PHL_PRO_PROC_OIL,CO2e,1,2045,0.0
RE1,PHL_PRO_PROC_OIL,CO2e,1,2046,0.0
RE1,PHL_PRO_PROC_OIL,CO2e,1,2047,0.0
RE1,PHL_PRO_PROC_OIL,CO2e,1,2048,0.0
RE1,PHL_PRO_PROC_OIL,CO2e,1,2049,0.0
RE1,PHL_PRO_PROC_OIL,CO2e,1,2050,-0.0
RE1,PHL_PRO_PROC_OIL,CO2e,1,2051,-0.0
RE1,PHL_PRO_PROC_OIL,CO2e,1,2052,0.0
RE1,PHL_PRO_PROC_OIL,CO2e,1,2053,0.0
RE1,PHL_PRO_PROC_COAL,CO2e,1,2020,70.5467
RE1,PHL_PRO_PROC_COAL,CO2e,1,2021,110.0799
RE1,PHL_PRO_PROC_COAL,CO2e,1,2022,118.0273
RE1,PHL_PRO_PROC_COAL,CO2e,1,2023,126.249
RE1,PHL_PRO_PROC_COAL,CO2e,1,2024,133.6535
RE1,PHL_PRO_PROC_COAL,CO2e,1,2025,141.6708
RE1,PHL_PRO_PROC_COAL,CO2e,1,2026,140.1513
RE1,PHL_PRO_PROC_COAL,CO2e,1,2027,145.8409
RE1,PHL_PRO_PROC_COAL,CO2e,1,2028,151.4712
RE1,PHL_PRO_PROC_COAL,CO2e,1,2029,156.888
RE1,PHL_PRO_PROC_COAL,CO2e,1,2030,150.7372
RE1,PHL_PRO_PROC_COAL,CO2e,1,2031,160.7468
RE1,PHL_PRO_PROC_COAL,CO2e,1,2032,170.4105
RE1,PHL_PRO_PROC_COAL,CO2e,1,2033,181.073
RE1,PHL_PRO_PROC_COAL,CO2e,1,2034,175.5778
RE1,PHL_PRO_PROC_COAL,CO2e,1,2035,168.3504
RE1,PHL_PRO_PROC_COAL,CO2e,1,2036,158.6633
RE1,PHL_PRO_PROC_COAL,CO2e,1,2037,150.888
RE1,PHL_PRO_PROC_COAL,CO2e,1,2038,140.8871
RE1,PHL_PRO_PROC_COAL,CO2e,1,2039,134.7674
RE1,PHL_PRO_PROC_COAL,CO2e,1,2040,130.1214
RE1,PHL_PRO_PROC_COAL,CO2e,1,2041,131.69
