r_x,f,t,y,m,r_y,l,r,UseByTechnologyByMode
RE1,PHL_PRO_LIQ,PHL_AGR_MOT_LIQ,2047,1,RE1,1,RE1,1.2304
RE1,PHL_PRO_LIQ,PHL_AGR_MOT_LIQ,2048,1,RE1,1,RE1,1.26
RE1,PHL_PRO_LIQ,PHL_AGR_MOT_LIQ,2049,1,RE1,1,RE1,1.2897
RE1,PHL_PRO_LIQ,PHL_AGR_MOT_LIQ,2050,1,RE1,1,RE1,1.3193
RE1,PHL_PRO_LIQ,PHL_AGR_MOT_LIQ,2051,1,RE1,1,RE1,1.3519
RE1,PHL_PRO_LIQ,PHL_AGR_MOT_LIQ,2052,1,RE1,1,RE1,1.3845
RE1,PHL_PRO_LIQ,PHL_AGR_MOT_LIQ,2053,1,RE1,1,RE1,1.4171
RE1,PHL_AGR_ELEF,PHL_AGR_UNIT,2020,1,RE1,1,RE1,0.3188
RE1,PHL_AGR_ELEF,PHL_AGR_UNIT,2021,1,RE1,1,RE1,0.326
RE1,PHL_AGR_ELEF,PHL_AGR_UNIT,2022,1,RE1,1,RE1,0.3332
RE1,PHL_AGR_ELEF,PHL_AGR_UNIT,2023,1,RE1,1,RE1,0.3403
RE1,PHL_AGR_ELEF,PHL_AGR_UNIT,2024,1,RE1,1,RE1,0.3475
RE1,PHL_AGR_ELEF,PHL_AGR_UNIT,2025,1,RE1,1,RE1,0.3547
RE1,PHL_AGR_ELEF,PHL_AGR_UNIT,2026,1,RE1,1,RE1,0.3625
RE1,PHL_AGR_ELEF,PHL_AGR_UNIT,2027,1,RE1,1,RE1,0.3703
RE1,PHL_AGR_ELEF,PHL_AGR_UNIT,2028,1,RE1,1,RE1,0.378
RE1,PHL_AGR_ELEF,PHL_AGR_UNIT,2029,1,RE1,1,RE1,0.3858
RE1,PHL_AGR_ELEF,PHL_AGR_UNIT,2030,1,RE1,1,RE1,0.3936
RE1,PHL_AGR_ELEF,PHL_AGR_UNIT,2031,1,RE1,1,RE1,0.4024
RE1,PHL_AGR_ELEF,PHL_AGR_UNIT,2032,1,RE1,1,RE1,0.4113
RE1,PHL_AGR_ELEF,PHL_AGR_UNIT,2033,1,RE1,1,RE1,0.4201
RE1,PHL_AGR_ELEF,PHL_AGR_UNIT,2034,1,RE1,1,RE1,0.429
RE1,PHL_AGR_ELEF,PHL_AGR_UNIT,2035,1,RE1,1,RE1,0.4378
