Year,Electricity_Cost_Pct_Change,Investments_Pct_Change,CO2e_Pct_Change,PM25_Pct_Change
2020,-4.086899845778605,0.0,,
2021,5.321110488008973,102.54991594481555,-0.45494522033869644,0.0
2022,3.3951759833316864,71.47383122873164,0.04667860691902076,0.0
2023,3.752954528239769,82.13856461734986,0.026760228353932925,0.0
2024,12.511998816305411,31.91362223434276,1.224228904067074,0.0
2025,3.238422218017921,28.13425371830466,1.2367468950624902,0.0
2026,4.022346474814617,21.956105866267748,-0.2542120652294225,-2.819242631394872
2027,2.5639835787751726,18.061337065594767,-2.904712029366587,-5.458323894694335
2028,5.008135267343255,19.165438521501944,-0.8633381074509492,-7.933682781524891
2029,3.2714718070747217,21.03081354728796,-0.5946677607244046,-10.260602337009287
2030,4.729277813703329,17.225726339505332,2.538531465784328,-12.451671313259768
2031,1.6332631514530276,12.708852583471138,-0.28604235959553564,-14.458864577558941
2032,0.730305072912595,10.445935317368553,0.025426450645913878,-16.340585661280063
2033,0.5588101837439813,9.573177302633265,-0.6484108854210728,-18.107802110632083
2034,0.6270693068488501,8.891963878401533,-0.996639594608058,-19.77090394948433
2035,0.13847488370367858,8.323563844490426,-1.7587738984459436,-21.339030927735806
2036,-1.3627414337857608,7.471094660697995,-3.0473038714847207,-22.711467618235247
2037,-4.981759956549208,6.764190724686464,-9.997783713795785,-23.998242990451892
2038,-5.612213358507564,6.242713865717336,-9.56558673169135,-25.2059372901276
2039,-5.8862832417097275,5.882017178294026,-8.600061877359073,-25.711313120341085
2040,6.29702733772662,4.9239506460350455,-3.396139739776452,-25.96984908055356
2041,2.826541333376326,4.9239506460350455,-1.8211932357406886,-24.838014855690318
2042,2.457660792562248,4.9239506460350455,-1.5113602351551854,-23.78054538558592
2043,2.1521777233447192,4.9239506460350455,-1.2267567957373688,-22.780536171683096
2044,1.8219911374145785,4.9239506460350455,-1.0045998418770523,-21.837629691454552
2045,-1.3601473492361686,0.0,-0.8511592284539352,-20.947492794407996
2046,-2.852134767488854,0.0,-0.2925457969998849,-20.092094995864272
2047,-3.5104218196838115,0.0,-0.13973068748548384,-19.280052853422116
2048,-3.6388538835075845,0.0,0.2434816788225528,-18.512485261382185
2049,-33.94249306818637,0.0,-0.09109116138924822,-18.06069071463248
2050,-2.9328930633371217,0.0,0.4361694112131641,-17.74755615367759
2051,,,0.6850940023988477,-17.327533137599797
2052,,,0.8500235214990228,-16.526126599932148
2053,,,1.363618235638195,-15.767064821975865
