Sum of CapitalInvestment,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,(blank),Grand Total
PHL_INDU_OTHLPH_COAL,690.8353,1333.2324,46.3452,46.0826,45.8293,45.5854,49.0682,48.8245,48.5908,48.367,47.6982,53.8005,53.5821,53.3752,53.1796,52.9952,62.6242,62.431,62.2499,62.0804,61.6087,70.7689,70.9032,70.8197,69.5449,685.5364,1286.0039,120.6998,120.57,120.4532,119.4019,130.555,130.555,130.555,,6154.7526
PHL_INDU_OTHLPH_ELE,0,20.0174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,20.0174
PHL_INDU_OTHLPH_H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_INDU_OTHLPH_NG,3.2515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.2515
PHL_INDU_OTHLPH_OIL,448.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,448.077
PHL_INDU_PLANT_OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_LND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_LND_BLT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_LND_CRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_LND_FOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_LND_GRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_LND_OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_LND_WAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_MIN_PRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_POW_BH2_NG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_POW_CHP_BIOM_OLD,0,0,369,27,44.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,440.55
PHL_POW_CHP_COAL_OLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_POW_CHP_NG_OLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_POW_CHP_OIL_OLD,0,233.74,126.49,0,14.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,374.79
PHL_POW_DAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_POW_ELEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_POW_GEO_OLD,0,0,16.28,1236.7766,29.5789,157.08,3669.5902,3695.109,3786.1384,852.912,0,0,0,616,0,0,477.4,2684.88,0,0,0,0,0,0,0,0,0,0,0,0,20.0948,0,0,0,,17241.8399
PHL_POW_GH2_COAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_POW_GH2_NG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_POW_PP_BIOM_CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_POW_PP_COAL,0,1595,1692.68,0,1320,0,0,0,0,0,0,1900.3413,6868.5737,2417.9737,2417.9737,2417.9737,4617.1466,2936.3466,4413.0618,3323.0182,0,0,0,0,0,0,0,130.2179,0,1679.0586,24570.884,3081.2016,2469.8216,3903.3416,,71754.6146
PHL_POW_PP_COAL_CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_POW_PP_H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_POW_PP_HY_LA,4389.9544,7663.7159,47.7,140.4,105.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12347.3703
PHL_POW_PP_NGCC,0,0,0,0,0,1056,0,0,0,0,0,0,0,0,0,0,0,0,39.439,1415.6291,204.722,0,0,0,0,0,640.6135,948.4594,148.7655,40.4897,8881.0983,398.1344,421.8944,399.9344,,14595.1797
PHL_POW_PP_NGCC_CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_POW_PP_NU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_POW_PP_NUSMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_POW_PP_SPV_T1,0,288.5501,279.3372,138.0787,848.3136,224.3286,0,0,0,0,5575.2805,0,0,0,18.6849,0,0,0,0,0,7282.7963,0,0,0,0,64.1462,332.353,121.8738,241.243,0,8804.9618,745.7972,746.6047,698.7684,,26411.118
PHL_POW_PP_WOF_T1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_POW_PP_WON_T1,357.9976,225.777,0,33.9353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,617.7099
PHL_POW_SYNTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_POW_TD,0,0,0,0,0,459.6972,1316.7722,1316.7722,1316.7722,1316.7722,1316.7722,1573.5395,1573.5395,1573.5395,1573.5395,1573.5395,1910.8799,1910.8799,1910.8799,1910.8799,1910.8799,0,0,0,0,0,0,0,0,0,22022.729,2082.2843,2082.2843,2082.2843,,52735.2371
PHL_POW_TD_AGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_POW_TD_HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_POW_TD_INDU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
